year,glb_at,ben_at
1753,8.39,18.87
1754,8.47,19.03
1755,8.36,18.76
1756,8.85,19.36
1757,9.02,19.16
1758,6.74,17.17
1759,7.99,18.60
1760,7.19,18.03
1761,8.77,19.14
1762,8.61,19.05
1763,7.50,18.23
1764,8.40,19.09
1765,8.25,19.00
1766,8.41,19.08
1767,8.22,19.60
1768,6.78,17.63
1769,7.69,18.73
1770,7.69,18.62
1771,7.85,18.97
1772,8.19,19.74
1773,8.22,18.89
1774,8.77,19.38
1775,9.18,19.54
1776,8.30,18.65
1777,8.26,18.57
1778,8.54,19.15
1779,8.98,19.19
1780,9.43,19.61
1781,8.10,18.98
1782,7.90,18.54
1783,7.68,18.57
1784,7.86,18.74
1785,7.36,18.32
1786,8.26,18.77
1787,8.03,18.96
1788,8.45,19.29
1789,8.33,18.80
1790,7.98,18.94
1791,8.23,19.20
1792,8.09,18.82
1793,8.23,18.39
1794,8.53,18.80
1795,8.35,18.97
1796,8.27,19.02
1797,8.51,19.03
1798,8.67,19.16
1799,8.51,19.29
1800,8.48,19.28
1801,8.59,19.47
1802,8.58,19.57
1803,8.50,19.11
1804,8.84,19.36
1805,8.56,18.73
1806,8.43,18.97
1807,8.28,19.08
1808,7.63,18.09
1809,7.08,17.89
1810,6.92,18.06
1811,6.86,18.27
1812,7.05,17.74
1813,7.74,18.07
1814,7.59,17.87
1815,7.24,18.13
1816,6.94,17.57
1817,6.98,17.88
1818,7.83,18.56
1819,7.37,18.28
1820,7.62,18.65
1821,8.09,18.28
1822,8.19,18.82
1823,7.72,18.39
1824,8.55,18.88
1825,8.39,18.57
1826,8.36,18.47
1827,8.81,18.98
1828,8.17,18.89
1829,7.94,18.54
1830,8.52,18.92
1831,7.64,18.46
1832,7.45,18.22
1833,8.01,18.50
1834,8.15,18.46
1835,7.39,17.85
1836,7.70,18.26
1837,7.38,17.76
1838,7.51,18.20
1839,7.63,18.37
1840,7.80,18.51
1841,7.69,18.96
1842,8.02,18.53
1843,8.17,18.63
1844,7.65,18.61
1845,7.85,18.79
1846,8.55,19.43
1847,8.09,18.64
1848,7.98,18.65
1849,7.98,18.62
1850,7.90,18.07
1851,8.18,18.44
1852,8.10,18.88
1853,8.04,19.27
1854,8.21,18.19
1855,8.11,18.74
1856,8.00,18.28
1857,7.76,18.07
1858,8.10,18.26
1859,8.25,18.68
1860,7.96,19.03
1861,7.85,18.63
1862,7.56,19.01
1863,8.11,19.01
1864,7.98,18.59
1865,8.18,18.87
1866,8.29,19.08
1867,8.44,19.09
1868,8.25,18.66
1869,8.43,18.87
1870,8.20,18.85
1871,8.12,18.64
1872,8.19,19.16
1873,8.35,18.84
1874,8.43,18.36
1875,7.86,18.08
1876,8.08,18.89
1877,8.54,18.71
1878,8.83,19.10
1879,8.17,18.81
1880,8.12,18.83
1881,8.27,18.97
1882,8.13,18.25
1883,7.98,18.30
1884,7.77,18.02
1885,7.92,18.72
1886,7.95,18.47
1887,7.91,18.95
1888,8.09,18.55
1889,8.32,18.70
1890,7.97,18.49
1891,8.02,18.49
1892,8.07,19.08
1893,8.06,18.45
1894,8.16,18.61
1895,8.15,18.98
1896,8.21,18.65
1897,8.29,18.36
1898,8.18,18.89
1899,8.40,18.72
1900,8.50,18.90
1901,8.54,18.95
1902,8.30,18.83
1903,8.22,18.33
1904,8.09,18.78
1905,8.23,18.63
1906,8.38,18.74
1907,7.95,18.29
1908,8.19,18.51
1909,8.18,18.78
1910,8.22,18.39
1911,8.18,18.72
1912,8.17,18.57
1913,8.30,18.88
1914,8.59,18.51
1915,8.59,19.06
1916,8.23,19.69
1917,8.02,18.77
1918,8.13,19.04
1919,8.38,18.71
1920,8.36,18.83
1921,8.57,18.68
1922,8.41,19.15
1923,8.42,19.08
1924,8.51,19.18
1925,8.53,19.04
1926,8.73,19.17
1927,8.52,19.66
1928,8.63,19.49
1929,8.24,18.65
1930,8.63,19.38
1931,8.72,19.42
1932,8.71,19.58
1933,8.34,18.95
1934,8.63,19.60
1935,8.52,19.27
1936,8.55,19.23
1937,8.70,19.63
1938,8.86,18.65
1939,8.76,19.43
1940,8.76,18.83
1941,8.77,19.24
1942,8.73,19.17
1943,8.76,19.42
1944,8.85,19.06
1945,8.58,19.22
1946,8.68,19.55
1947,8.80,19.66
1948,8.75,18.66
1949,8.59,18.51
1950,8.37,19.18
1951,8.63,19.48
1952,8.64,19.58
1953,8.87,18.74
1954,8.56,18.75
1955,8.63,20.14
1956,8.28,18.82
1957,8.73,19.00
1958,8.77,19.40
1959,8.73,18.74
1960,8.58,19.85
1961,8.80,18.94
1962,8.75,19.41
1963,8.86,19.47
1964,8.41,19.02
1965,8.53,18.83
1966,8.60,19.46
1967,8.70,18.83
1968,8.52,19.29
1969,8.60,19.29
1970,8.70,19.16
1971,8.60,18.93
1972,8.50,19.23
1973,8.95,19.16
1974,8.47,19.07
1975,8.74,18.86
1976,8.35,18.68
1977,8.85,19.55
1978,8.69,18.87
1979,8.73,19.37
1980,8.98,18.75
1981,9.17,19.20
1982,8.64,19.17
1983,9.03,18.81
1984,8.69,18.94
1985,8.66,19.33
1986,8.83,18.97
1987,8.99,19.07
1988,9.20,19.67
1989,8.92,19.18
1990,9.23,19.60
1991,9.18,18.96
1992,8.84,19.03
1993,8.87,19.51
1994,9.04,19.86
1995,9.35,19.47
1996,9.04,19.24
1997,9.20,19.30
1998,9.52,19.75
1999,9.29,20.27
2000,9.20,19.59
2001,9.41,20.09
2002,9.57,19.96
2003,9.53,19.98
2004,9.32,19.76
2005,9.70,19.48
2006,9.53,19.48
2007,9.73,19.87
2008,9.43,20.17
2009,9.51,19.93
2010,9.70,20.51
2011,9.52,19.44
2012,9.51,20.01
2013,9.61,19.93
